Município;Dose;Total Doses Aplicadas
SANTA LÚCIA;ADICIONAL;4886
SANTA ISABEL;ADICIONAL;33111
SANTA GERTRUDES;ADICIONAL;11168
SANTA FÉ DO SUL;ADICIONAL;21918
SANTA ERNESTINA;ADICIONAL;4025
SANTA CRUZ DO RIO PARDO;ADICIONAL;31460
SANTA CRUZ DAS PALMEIRAS;ADICIONAL;16923
SANTA CRUZ DA ESPERANÇA;ADICIONAL;1453
SANTA CRUZ DA CONCEIÇÃO;ADICIONAL;3663
SANTA CLARA D'OESTE;ADICIONAL;2009
SANTA BRANCA;ADICIONAL;8378
SANTA BÁRBARA D'OESTE;ADICIONAL;99468
SANTA ALBERTINA;ADICIONAL;4760
SANTA ADÉLIA;ADICIONAL;9580
SANDOVALINA;ADICIONAL;2487
SALTO GRANDE;ADICIONAL;5308
SALTO DE PIRAPORA;ADICIONAL;25997
SALTO;ADICIONAL;70016
SALTINHO;ADICIONAL;5095
SALMOURÃO;ADICIONAL;3246
SALESÓPOLIS;ADICIONAL;10507
SALES OLIVEIRA;ADICIONAL;6941
SALES;ADICIONAL;4058
SAGRES;ADICIONAL;1466
SABINO;ADICIONAL;3796
RUBINÉIA;ADICIONAL;2341
RUBIÁCEA;ADICIONAL;1939
ROSEIRA;ADICIONAL;6103
ROSANA;ADICIONAL;11124
RIVERSUL;ADICIONAL;4694
RIOLÂNDIA;ADICIONAL;6816
RIO GRANDE DA SERRA;ADICIONAL;17431
RIO DAS PEDRAS;ADICIONAL;16503
RIO CLARO;ADICIONAL;117033
RINÓPOLIS;ADICIONAL;4987
RINCÃO;ADICIONAL;6765
RIFAINA;ADICIONAL;2757
RIBEIRÃO PRETO;ADICIONAL;426157
RIBEIRÃO PIRES;ADICIONAL;71828
RIBEIRÃO GRANDE;ADICIONAL;5683
RIBEIRÃO DOS ÍNDIOS;ADICIONAL;1859
RIBEIRÃO DO SUL;ADICIONAL;4010
RIBEIRÃO CORRENTE;ADICIONAL;2492
RIBEIRÃO BRANCO;ADICIONAL;10699
RIBEIRÃO BONITO;ADICIONAL;7732
RIBEIRA;ADICIONAL;2387
RESTINGA;ADICIONAL;4431
REGISTRO;ADICIONAL;33312
REGINÓPOLIS;ADICIONAL;7546
REGENTE FEIJÓ;ADICIONAL;13175
REDENÇÃO DA SERRA;ADICIONAL;2772
RANCHARIA;ADICIONAL;18840
RAFARD;ADICIONAL;5619
QUINTANA;ADICIONAL;4307
QUELUZ;ADICIONAL;4752
QUEIROZ;ADICIONAL;2091
QUATÁ;ADICIONAL;8414
QUADRA;ADICIONAL;2550
PROMISSÃO;ADICIONAL;22717
PRESIDENTE VENCESLAU;ADICIONAL;20662
PRESIDENTE PRUDENTE;ADICIONAL;137845
PRESIDENTE EPITÁCIO;ADICIONAL;21770
PRESIDENTE BERNARDES;ADICIONAL;11379
PRESIDENTE ALVES;ADICIONAL;2878
PRATÂNIA;ADICIONAL;3215
PRAIA GRANDE;ADICIONAL;176540
PRADÓPOLIS;ADICIONAL;11302
PRACINHA;ADICIONAL;2685
POTIRENDABA;ADICIONAL;10668
POTIM;ADICIONAL;11126
PORTO FERREIRA;ADICIONAL;33739
PORTO FELIZ;ADICIONAL;30613
PORANGABA;ADICIONAL;6776
POPULINA;ADICIONAL;3315
PONTES GESTAL;ADICIONAL;1851
PONTALINDA;ADICIONAL;2550
PONTAL;ADICIONAL;23007
PONGAÍ;ADICIONAL;2541
POMPÉIA;ADICIONAL;12682
POLONI;ADICIONAL;4559
POÁ;ADICIONAL;59331
PLATINA;ADICIONAL;2183
PLANALTO;ADICIONAL;2947
PITANGUEIRAS;ADICIONAL;21023
PIRATININGA;ADICIONAL;8911
PIRASSUNUNGA;ADICIONAL;42973
PIRAPOZINHO;ADICIONAL;16497
PIRAPORA DO BOM JESUS;ADICIONAL;9484
PIRANGI;ADICIONAL;7357
PIRAJUÍ;ADICIONAL;13533
PIRAJU;ADICIONAL;18950
PIRACICABA;ADICIONAL;237107
PIRACAIA;ADICIONAL;18441
PIQUETE;ADICIONAL;7987
PIQUEROBI;ADICIONAL;2096
PINHALZINHO;ADICIONAL;9851
PINDORAMA;ADICIONAL;9323
PINDAMONHANGABA;ADICIONAL;89664
PILAR DO SUL;ADICIONAL;19322
PIEDADE;ADICIONAL;33218
PIACATU;ADICIONAL;3176
PERUÍBE;ADICIONAL;43110
PEREIRAS;ADICIONAL;5508
PEREIRA BARRETO;ADICIONAL;16527
PENÁPOLIS;ADICIONAL;35322
PEDRO DE TOLEDO;ADICIONAL;5500
PEDRINHAS PAULISTA;ADICIONAL;2257
PEDREIRA;ADICIONAL;27528
PEDREGULHO;ADICIONAL;10139
PEDRANÓPOLIS;ADICIONAL;2194
PEDRA BELA;ADICIONAL;4895
PEDERNEIRAS;ADICIONAL;23663
PAULO DE FARIA;ADICIONAL;5923
PAULISTÂNIA;ADICIONAL;1563
PAULÍNIA;ADICIONAL;65327
PAULICÉIA;ADICIONAL;4175
PATROCÍNIO PAULISTA;ADICIONAL;8648
PARISI;ADICIONAL;2603
PARIQUERA-AÇU;ADICIONAL;11905
PARDINHO;ADICIONAL;4065
PARAPUÃ;ADICIONAL;6603
PARANAPUÃ;ADICIONAL;2740
PARANAPANEMA;ADICIONAL;13059
PARAÍSO;ADICIONAL;4295
PARAIBUNA;ADICIONAL;9243
PARAGUAÇU PAULISTA;ADICIONAL;26436
PANORAMA;ADICIONAL;8100
PALMITAL;ADICIONAL;15876
PALMEIRA D'OESTE;ADICIONAL;8214
PALMARES PAULISTA;ADICIONAL;6156
PALESTINA;ADICIONAL;6721
PACAEMBU;ADICIONAL;12170
OUROESTE;ADICIONAL;7306
OURO VERDE;ADICIONAL;4361
OURINHOS;ADICIONAL;57135
OSVALDO CRUZ;ADICIONAL;20958
OSCAR BRESSANE;ADICIONAL;2227
OSASCO;ADICIONAL;430152
ORLÂNDIA;ADICIONAL;25382
ORINDIÚVA;ADICIONAL;4553
ORIENTE;ADICIONAL;3943
ONDA VERDE;ADICIONAL;2850
OLÍMPIA;ADICIONAL;34527
ÓLEO;ADICIONAL;1923
OCAUÇU;ADICIONAL;3298
NUPORANGA;ADICIONAL;4782
NOVO HORIZONTE;ADICIONAL;24085
NOVAIS;ADICIONAL;1828
NOVA ODESSA;ADICIONAL;31435
NOVA LUZITÂNIA;ADICIONAL;2072
NOVA INDEPENDÊNCIA;ADICIONAL;4189
NOVA GUATAPORANGA;ADICIONAL;1665
NOVA GRANADA;ADICIONAL;13150
NOVA EUROPA;ADICIONAL;6719
NOVA CASTILHO;ADICIONAL;874
NOVA CANAÃ PAULISTA;ADICIONAL;1577
NOVA CAMPINA;ADICIONAL;6633
NOVA ALIANÇA;ADICIONAL;4629
NIPOÃ;ADICIONAL;2907
NHANDEARA;ADICIONAL;6929
NEVES PAULISTA;ADICIONAL;7266
NAZARÉ PAULISTA;ADICIONAL;11053
NATIVIDADE DA SERRA;ADICIONAL;3424
NARANDIBA;ADICIONAL;3881
NÃO INFORMADO;ADICIONAL;1379
NANTES;ADICIONAL;1825
MURUTINGA DO SUL;ADICIONAL;3154
MOTUCA;ADICIONAL;3021
MORUNGABA;ADICIONAL;9196
MORRO AGUDO;ADICIONAL;16969
MONTEIRO LOBATO;ADICIONAL;2654
MONTE MOR;ADICIONAL;29267
MONTE CASTELO;ADICIONAL;2734
MONTE AZUL PAULISTA;ADICIONAL;12035
MONTE APRAZÍVEL;ADICIONAL;14873
MONTE ALTO;ADICIONAL;33515
MONTE ALEGRE DO SUL;ADICIONAL;5165
MONGAGUÁ;ADICIONAL;31521
MONÇÕES;ADICIONAL;1734
MOMBUCA;ADICIONAL;1988
MOGI MIRIM;ADICIONAL;57201
MOGI GUAÇU;ADICIONAL;79658
MOGI DAS CRUZES;ADICIONAL;264933
MOCOCA;ADICIONAL;46526
MIRASSOLÂNDIA;ADICIONAL;3416
MIRASSOL;ADICIONAL;35065
MIRANTE DO PARANAPANEMA;ADICIONAL;10325
MIRANDÓPOLIS;ADICIONAL;17631
MIRACATU;ADICIONAL;9195
MIRA ESTRELA;ADICIONAL;2497
MINEIROS DO TIETÊ;ADICIONAL;7834
MIGUELÓPOLIS;ADICIONAL;12745
MESÓPOLIS;ADICIONAL;1356
MERIDIANO;ADICIONAL;3065
MENDONÇA;ADICIONAL;4022
MAUÁ;ADICIONAL;254222
MATÃO;ADICIONAL;52181
MARTINÓPOLIS;ADICIONAL;17170
MARINÓPOLIS;ADICIONAL;1764
MARÍLIA;ADICIONAL;131725
MARIÁPOLIS;ADICIONAL;2642
MARAPOAMA;ADICIONAL;2059
MARACAÍ;ADICIONAL;8576
MARABÁ PAULISTA;ADICIONAL;3853
MANDURI;ADICIONAL;7222
MAIRIPORÃ;ADICIONAL;50917
MAIRINQUE;ADICIONAL;31040
MAGDA;ADICIONAL;2137
MACEDÔNIA;ADICIONAL;3206
MACAUBAL;ADICIONAL;4944
MACATUBA;ADICIONAL;9939
LUTÉCIA;ADICIONAL;1932
LUPÉRCIO;ADICIONAL;2257
LUIZIÂNIA;ADICIONAL;2790
LUÍS ANTÔNIO;ADICIONAL;6922
LUCIANÓPOLIS;ADICIONAL;1865
LUCÉLIA;ADICIONAL;13841
LOUVEIRA;ADICIONAL;28880
LOURDES;ADICIONAL;1750
LORENA;ADICIONAL;44710
LINS;ADICIONAL;48644
LINDÓIA;ADICIONAL;4409
LIMEIRA;ADICIONAL;138246
LENÇÓIS PAULISTA;ADICIONAL;33183
LEME;ADICIONAL;57331
LAVRINHAS;ADICIONAL;3359
LAVÍNIA;ADICIONAL;9238
LARANJAL PAULISTA;ADICIONAL;17396
LAGOINHA;ADICIONAL;4963
JUQUITIBA;ADICIONAL;15004
JUQUIÁ;ADICIONAL;9294
JUNQUEIRÓPOLIS;ADICIONAL;13283
JUNDIAÍ;ADICIONAL;282068
JUMIRIM;ADICIONAL;2241
JÚLIO MESQUITA;ADICIONAL;2707
JOSÉ BONIFÁCIO;ADICIONAL;22025
JOÃO RAMALHO;ADICIONAL;2694
JOANÓPOLIS;ADICIONAL;7971
JERIQUARA;ADICIONAL;2014
JAÚ;ADICIONAL;72201
JARINU;ADICIONAL;16919
JARDINÓPOLIS;ADICIONAL;24136
JANDIRA;ADICIONAL;56045
JAMBEIRO;ADICIONAL;3796
JALES;ADICIONAL;29540
JAGUARIÚNA;ADICIONAL;31753
JACUPIRANGA;ADICIONAL;7094
JACI;ADICIONAL;4886
JACAREÍ;ADICIONAL;121665
JABOTICABAL;ADICIONAL;49215
JABORANDI;ADICIONAL;4471
ITUVERAVA;ADICIONAL;26736
ITUPEVA;ADICIONAL;32950
ITU;ADICIONAL;103921
ITOBI;ADICIONAL;4773
ITIRAPUÃ;ADICIONAL;3648
ITIRAPINA;ADICIONAL;9384
ITATINGA;ADICIONAL;12874
ITATIBA;ADICIONAL;67902
ITARIRI;ADICIONAL;7280
ITARARÉ;ADICIONAL;29516
ITAQUAQUECETUBA;ADICIONAL;163798
ITAPURA;ADICIONAL;2634
ITAPUÍ;ADICIONAL;8032
ITAPORANGA;ADICIONAL;10240
ITÁPOLIS;ADICIONAL;24043
ITAPIRAPUÃ PAULISTA;ADICIONAL;3074
ITAPIRA;ADICIONAL;49763
ITAPEVI;ADICIONAL;91329
ITAPEVA;ADICIONAL;59297
ITAPETININGA;ADICIONAL;99319
ITAPECERICA DA SERRA;ADICIONAL;82588
ITAOCA;ADICIONAL;3086
ITANHAÉM;ADICIONAL;70046
ITAJU;ADICIONAL;1933
ITAJOBI;ADICIONAL;10027
ITAÍ;ADICIONAL;18062
ITABERÁ;ADICIONAL;14160
IRAPURU;ADICIONAL;6039
IRAPUÃ;ADICIONAL;4526
IRACEMÁPOLIS;ADICIONAL;11707
IPUÃ;ADICIONAL;8957
IPORANGA;ADICIONAL;2310
IPIGUÁ;ADICIONAL;3489
IPEÚNA;ADICIONAL;3202
IPERÓ;ADICIONAL;19572
IPAUSSU;ADICIONAL;7593
INÚBIA PAULISTA;ADICIONAL;2703
INDIAPORÃ;ADICIONAL;3194
INDIANA;ADICIONAL;3095
INDAIATUBA;ADICIONAL;197077
ILHABELA;ADICIONAL;19066
ILHA SOLTEIRA;ADICIONAL;18814
ILHA COMPRIDA;ADICIONAL;9159
IGUAPE;ADICIONAL;17892
IGARATÁ;ADICIONAL;6980
IGARAPAVA;ADICIONAL;17011
IGARAÇU DO TIETÊ;ADICIONAL;15297
IEPÊ;ADICIONAL;5785
ICÉM;ADICIONAL;5396
IBIÚNA;ADICIONAL;38204
IBITINGA;ADICIONAL;35409
IBIRAREMA;ADICIONAL;4340
IBIRÁ;ADICIONAL;7641
IBATÉ;ADICIONAL;18307
IARAS;ADICIONAL;7017
IACRI;ADICIONAL;4155
IACANGA;ADICIONAL;8126
HORTOLÂNDIA;ADICIONAL;111472
HOLAMBRA;ADICIONAL;9536
HERCULÂNDIA;ADICIONAL;4232
GUZOLÂNDIA;ADICIONAL;3065
GUATAPARÁ;ADICIONAL;5400
GUARULHOS;ADICIONAL;693678
GUARUJÁ;ADICIONAL;148352
GUARIBA;ADICIONAL;23787
GUAREÍ;ADICIONAL;10023
GUARATINGUETÁ;ADICIONAL;64198
GUARAREMA;ADICIONAL;21180
GUARARAPES;ADICIONAL;21067
GUARANTÃ;ADICIONAL;3976
GUARANI D'OESTE;ADICIONAL;1635
GUARACI;ADICIONAL;7048
GUARAÇAÍ;ADICIONAL;5023
GUARÁ;ADICIONAL;12072
GUAPIARA;ADICIONAL;11220
GUAPIAÇU;ADICIONAL;13001
GUAÍRA;ADICIONAL;28887
GUAIMBÊ;ADICIONAL;3771
GUAIÇARA;ADICIONAL;6988
GLICÉRIO;ADICIONAL;2811
GETULINA;ADICIONAL;7024
GENERAL SALGADO;ADICIONAL;6697
GAVIÃO PEIXOTO;ADICIONAL;3288
GASTÃO VIDIGAL;ADICIONAL;2399
GARÇA;ADICIONAL;25576
GÁLIA;ADICIONAL;5621
GABRIEL MONTEIRO;ADICIONAL;2183
FRANCO DA ROCHA;ADICIONAL;86304
FRANCISCO MORATO;ADICIONAL;84247
FRANCA;ADICIONAL;181147
FLORÍNEA;ADICIONAL;3350
FLÓRIDA PAULISTA;ADICIONAL;8769
FLOREAL;ADICIONAL;2386
FLORA RICA;ADICIONAL;1249
FERRAZ DE VASCONCELOS;ADICIONAL;84743
FERNÃO;ADICIONAL;1580
FERNANDÓPOLIS;ADICIONAL;49999
FERNANDO PRESTES;ADICIONAL;4735
FARTURA;ADICIONAL;11168
EUCLIDES DA CUNHA PAULISTA;ADICIONAL;5034
ESTRELA DO NORTE;ADICIONAL;2077
ESTRELA D'OESTE;ADICIONAL;6552
ESTIVA GERBI;ADICIONAL;5745
ESPÍRITO SANTO DO TURVO;ADICIONAL;2677
ESPÍRITO SANTO DO PINHAL;ADICIONAL;24924
ENGENHEIRO COELHO;ADICIONAL;8073
EMILIANÓPOLIS;ADICIONAL;2061
EMBU-GUAÇU;ADICIONAL;36614
EMBU DAS ARTES;ADICIONAL;140242
EMBAÚBA;ADICIONAL;1500
ELISIÁRIO;ADICIONAL;2409
ELIAS FAUSTO;ADICIONAL;10450
ELDORADO;ADICIONAL;5962
ECHAPORÃ;ADICIONAL;4346
DUMONT;ADICIONAL;6214
DUARTINA;ADICIONAL;10501
DRACENA;ADICIONAL;26489
DOURADO;ADICIONAL;6179
DOLCINÓPOLIS;ADICIONAL;1954
DOIS CÓRREGOS;ADICIONAL;14405
DOBRADA;ADICIONAL;5006
DIVINOLÂNDIA;ADICIONAL;8920
DIRCE REIS;ADICIONAL;1602
DIADEMA;ADICIONAL;239239
DESCALVADO;ADICIONAL;23144
CUNHA;ADICIONAL;13113
CUBATÃO;ADICIONAL;60440
CRUZEIRO;ADICIONAL;45028
CRUZÁLIA;ADICIONAL;1747
CRISTAIS PAULISTA;ADICIONAL;5531
CRAVINHOS;ADICIONAL;18565
COTIA;ADICIONAL;138583
COSMORAMA;ADICIONAL;5986
COSMÓPOLIS;ADICIONAL;30492
CORUMBATAÍ;ADICIONAL;2309
CORONEL MACEDO;ADICIONAL;4092
COROADOS;ADICIONAL;3209
CORDEIRÓPOLIS;ADICIONAL;15072
CONCHAS;ADICIONAL;10196
CONCHAL;ADICIONAL;13397
COLÔMBIA;ADICIONAL;5290
COLINA;ADICIONAL;10771
CLEMENTINA;ADICIONAL;4537
CHAVANTES;ADICIONAL;7907
CHARQUEADA;ADICIONAL;8661
CESÁRIO LANGE;ADICIONAL;10470
CERQUILHO;ADICIONAL;30676
CERQUEIRA CÉSAR;ADICIONAL;16368
CEDRAL;ADICIONAL;6373
CATIGUÁ;ADICIONAL;5082
CATANDUVA;ADICIONAL;67455
CASTILHO;ADICIONAL;13066
CÁSSIA DOS COQUEIROS;ADICIONAL;2102
CASA BRANCA;ADICIONAL;16502
CARDOSO;ADICIONAL;8721
CARAPICUÍBA;ADICIONAL;190831
CARAGUATATUBA;ADICIONAL;64812
CAPIVARI;ADICIONAL;28453
CAPELA DO ALTO;ADICIONAL;13628
CAPÃO BONITO;ADICIONAL;28913
CANITAR;ADICIONAL;3061
CÂNDIDO RODRIGUES;ADICIONAL;2643
CÂNDIDO MOTA;ADICIONAL;19152
CANAS;ADICIONAL;2041
CANANÉIA;ADICIONAL;7258
CAMPOS NOVOS PAULISTA;ADICIONAL;3092
CAMPOS DO JORDÃO;ADICIONAL;27247
CAMPO LIMPO PAULISTA;ADICIONAL;39988
CAMPINAS;ADICIONAL;686548
CAMPINA DO MONTE ALEGRE;ADICIONAL;4237
CAJURU;ADICIONAL;14330
CAJOBI;ADICIONAL;6868
CAJATI;ADICIONAL;13561
CAJAMAR;ADICIONAL;52616
CAIUÁ;ADICIONAL;5096
CAIEIRAS;ADICIONAL;59545
CAIABU;ADICIONAL;2311
CAFELÂNDIA;ADICIONAL;10722
CACONDE;ADICIONAL;11032
CACHOEIRA PAULISTA;ADICIONAL;16368
CAÇAPAVA;ADICIONAL;52932
CABREÚVA;ADICIONAL;23848
CABRÁLIA PAULISTA;ADICIONAL;2758
BURITIZAL;ADICIONAL;2706
BURITAMA;ADICIONAL;12070
BURI;ADICIONAL;10869
BROTAS;ADICIONAL;13811
BRODOWSKI;ADICIONAL;15379
BREJO ALEGRE;ADICIONAL;1521
BRAÚNA;ADICIONAL;2993
BRAGANÇA PAULISTA;ADICIONAL;119957
BOTUCATU;ADICIONAL;129932
BOREBI;ADICIONAL;1061
BORBOREMA;ADICIONAL;9542
BORACÉIA;ADICIONAL;2754
BORÁ;ADICIONAL;507
BOM SUCESSO DE ITARARÉ;ADICIONAL;2752
BOM JESUS DOS PERDÕES;ADICIONAL;13269
BOITUVA;ADICIONAL;33108
BOFETE;ADICIONAL;6686
BOCAINA;ADICIONAL;7867
BOA ESPERANÇA DO SUL;ADICIONAL;8736
BIRITIBA MIRIM;ADICIONAL;15860
BIRIGUI;ADICIONAL;65285
BILAC;ADICIONAL;5248
BERTIOGA;ADICIONAL;30758
BERNARDINO DE CAMPOS;ADICIONAL;8678
BENTO DE ABREU;ADICIONAL;1987
BEBEDOURO;ADICIONAL;46589
BAURU;ADICIONAL;212194
BATATAIS;ADICIONAL;46346
BASTOS;ADICIONAL;15387
BARUERI;ADICIONAL;161001
BARRINHA;ADICIONAL;16140
BARRETOS;ADICIONAL;78409
BARRA DO TURVO;ADICIONAL;3252
BARRA DO CHAPÉU;ADICIONAL;3304
BARRA BONITA;ADICIONAL;26532
BARIRI;ADICIONAL;17581
BARBOSA;ADICIONAL;3906
BARÃO DE ANTONINA;ADICIONAL;2583
BANANAL;ADICIONAL;5870
BÁLSAMO;ADICIONAL;5981
BALBINOS;ADICIONAL;4253
BADY BASSITT;ADICIONAL;10947
AVARÉ;ADICIONAL;61104
AVANHANDAVA;ADICIONAL;6592
AVAÍ;ADICIONAL;3778
AURIFLAMA;ADICIONAL;8353
ATIBAIA;ADICIONAL;96972
ASSIS;ADICIONAL;59053
ASPÁSIA;ADICIONAL;1295
ARUJÁ;ADICIONAL;46431
ARTUR NOGUEIRA;ADICIONAL;27033
ARIRANHA;ADICIONAL;5813
AREIÓPOLIS;ADICIONAL;5669
AREIAS;ADICIONAL;2400
AREALVA;ADICIONAL;5854
ARCO-ÍRIS;ADICIONAL;1750
ARARAS;ADICIONAL;84620
ARARAQUARA;ADICIONAL;151989
ARAPEÍ;ADICIONAL;1496
ARANDU;ADICIONAL;4674
ARAMINA;ADICIONAL;4055
ARAÇOIABA DA SERRA;ADICIONAL;22266
ARAÇATUBA;ADICIONAL;115065
ARAÇARIGUAMA;ADICIONAL;10288
APIAÍ;ADICIONAL;14546
APARECIDA D'OESTE;ADICIONAL;3600
APARECIDA;ADICIONAL;18166
ANHUMAS;ADICIONAL;2276
ANHEMBI;ADICIONAL;3993
ANGATUBA;ADICIONAL;12872
ANDRADINA;ADICIONAL;35623
ANALÂNDIA;ADICIONAL;2388
AMPARO;ADICIONAL;45806
AMÉRICO DE CAMPOS;ADICIONAL;4595
AMÉRICO BRASILIENSE;ADICIONAL;21001
AMERICANA;ADICIONAL;120434
ALVINLÂNDIA;ADICIONAL;2072
ÁLVARO DE CARVALHO;ADICIONAL;4775
ÁLVARES MACHADO;ADICIONAL;15084
ÁLVARES FLORENCE;ADICIONAL;2998
ALUMÍNIO;ADICIONAL;11138
ALTO ALEGRE;ADICIONAL;2649
ALTINÓPOLIS;ADICIONAL;11611
ALTAIR;ADICIONAL;2777
ALFREDO MARCONDES;ADICIONAL;3758
ALAMBARI;ADICIONAL;3856
AGUDOS;ADICIONAL;19895
ÁGUAS DE SÃO PEDRO;ADICIONAL;3787
ÁGUAS DE SANTA BÁRBARA;ADICIONAL;3721
ÁGUAS DE LINDÓIA;ADICIONAL;11938
ÁGUAS DA PRATA;ADICIONAL;5528
AGUAÍ;ADICIONAL;20942
ADOLFO;ADICIONAL;3650
ADAMANTINA;ADICIONAL;23922
ZACARIAS;2° DOSE;2250
VOTUPORANGA;2° DOSE;82955
VOTORANTIM;2° DOSE;92574
VITÓRIA BRASIL;2° DOSE;1608
VISTA ALEGRE DO ALTO;2° DOSE;6937
VIRADOURO;2° DOSE;15811
VINHEDO;2° DOSE;65974
VERA CRUZ;2° DOSE;8679
VÁRZEA PAULISTA;2° DOSE;93169
VARGEM GRANDE PAULISTA;2° DOSE;41422
VARGEM GRANDE DO SUL;2° DOSE;35294
VARGEM;2° DOSE;8576
VALPARAÍSO;2° DOSE;20787
VALINHOS;2° DOSE;104378
VALENTIM GENTIL;2° DOSE;11989
URUPÊS;2° DOSE;12030
URU;2° DOSE;1307
URÂNIA;2° DOSE;7613
UNIÃO PAULISTA;2° DOSE;1530
UCHOA;2° DOSE;8800
UBIRAJARA;2° DOSE;4413
UBATUBA;2° DOSE;76340
UBARANA;2° DOSE;4913
TURMALINA;2° DOSE;1781
TURIÚBA;2° DOSE;1724
TUPI PAULISTA;2° DOSE;14330
TUPÃ;2° DOSE;55522
TUIUTI;2° DOSE;5794
TRÊS FRONTEIRAS;2° DOSE;5678
TREMEMBÉ;2° DOSE;42220
TRABIJU;2° DOSE;1592
TORRINHA;2° DOSE;8345
TORRE DE PEDRA;2° DOSE;2526
TIMBURI;2° DOSE;2424
TIETÊ;2° DOSE;32821
TERRA ROXA;2° DOSE;6961
TEODORO SAMPAIO;2° DOSE;19175
TEJUPÁ;2° DOSE;3772
TAUBATÉ;2° DOSE;258523
TATUÍ;2° DOSE;102708
TARUMÃ;2° DOSE;12451
TARABAI;2° DOSE;6016
TAQUARIVAÍ;2° DOSE;5447
TAQUARITUBA;2° DOSE;22526
TAQUARITINGA;2° DOSE;46614
TAQUARAL;2° DOSE;2478
TAPIRATIBA;2° DOSE;11133
TAPIRAÍ;2° DOSE;7027
TANABI;2° DOSE;22193
TAMBAÚ;2° DOSE;18143
TAIÚVA;2° DOSE;6009
TAIAÇU;2° DOSE;5233
TAGUAÍ;2° DOSE;11377
TACIBA;2° DOSE;5174
TABOÃO DA SERRA;2° DOSE;229536
TABATINGA;2° DOSE;12566
TABAPUÃ;2° DOSE;10225
SUZANO;2° DOSE;246166
SUZANÁPOLIS;2° DOSE;3100
SUMARÉ;2° DOSE;231144
SUD MENNUCCI;2° DOSE;6583
SOROCABA;2° DOSE;578674
SOCORRO;2° DOSE;34973
SILVEIRAS;2° DOSE;5647
SEVERÍNIA;2° DOSE;13012
SETE BARRAS;2° DOSE;10817
SERTÃOZINHO;2° DOSE;106672
SERRANA;2° DOSE;42186
SERRA NEGRA;2° DOSE;24970
SERRA AZUL;2° DOSE;12286
SEBASTIANÓPOLIS DO SUL;2° DOSE;3102
SARUTAIÁ;2° DOSE;3367
SARAPUÍ;2° DOSE;8468
SÃO VICENTE;2° DOSE;279867
SÃO SIMÃO;2° DOSE;12141
SÃO SEBASTIÃO DA GRAMA;2° DOSE;9371
SÃO SEBASTIÃO;2° DOSE;73372
SÃO ROQUE;2° DOSE;73526
SÃO PEDRO DO TURVO;2° DOSE;6368
SÃO PEDRO;2° DOSE;30697
SÃO PAULO;2° DOSE;11037518
SÃO MIGUEL ARCANJO;2° DOSE;28227
SÃO MANUEL;2° DOSE;31904
SÃO LUIZ DO PARAITINGA;2° DOSE;10062
SÃO LOURENÇO DA SERRA;2° DOSE;12758
SÃO JOSÉ DOS CAMPOS;2° DOSE;589887
SÃO JOSÉ DO RIO PRETO;2° DOSE;411172
SÃO JOSÉ DO RIO PARDO;2° DOSE;46777
SÃO JOSÉ DO BARREIRO;2° DOSE;3646
SÃO JOSÉ DA BELA VISTA;2° DOSE;6553
SÃO JOAQUIM DA BARRA;2° DOSE;41428
SÃO JOÃO DO PAU D'ALHO;2° DOSE;2010
SÃO JOÃO DE IRACEMA;2° DOSE;1635
SÃO JOÃO DAS DUAS PONTES;2° DOSE;2254
SÃO JOÃO DA BOA VISTA;2° DOSE;79878
SÃO FRANCISCO;2° DOSE;2566
SÃO CARLOS;2° DOSE;222462
SÃO CAETANO DO SUL;2° DOSE;140447
SÃO BERNARDO DO CAMPO;2° DOSE;684214
SÃO BENTO DO SAPUCAÍ;2° DOSE;10569
SANTOS;2° DOSE;380093
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;3402
SANTO EXPEDITO;2° DOSE;2645
SANTO ANTÔNIO DO PINHAL;2° DOSE;6322
SANTO ANTÔNIO DO JARDIM;2° DOSE;5392
SANTO ANTÔNIO DO ARACANGUÁ;2° DOSE;6941
SANTO ANTÔNIO DE POSSE;2° DOSE;19443
SANTO ANTÔNIO DA ALEGRIA;2° DOSE;6366
SANTO ANDRÉ;2° DOSE;591946
SANTO ANASTÁCIO;2° DOSE;15759
SANTANA DE PARNAÍBA;2° DOSE;130872
SANTANA DA PONTE PENSA;2° DOSE;1433
SANTA SALETE;2° DOSE;1550
SANTA ROSA DE VITERBO;2° DOSE;21372
SANTA RITA DO PASSA QUATRO;2° DOSE;22687
SANTA RITA D'OESTE;2° DOSE;2415
SANTA MERCEDES;2° DOSE;2741
SANTA MARIA DA SERRA;2° DOSE;4870
SANTA LÚCIA;2° DOSE;6470
SANTA ISABEL;2° DOSE;47034
SANTA GERTRUDES;2° DOSE;19346
SANTA FÉ DO SUL;2° DOSE;30127
SANTA ERNESTINA;2° DOSE;5197
SANTA CRUZ DO RIO PARDO;2° DOSE;41571
SANTA CRUZ DAS PALMEIRAS;2° DOSE;25080
SANTA CRUZ DA ESPERANÇA;2° DOSE;1888
SANTA CRUZ DA CONCEIÇÃO;2° DOSE;3854
SANTA CLARA D'OESTE;2° DOSE;2187
SANTA BRANCA;2° DOSE;11778
SANTA BÁRBARA D'OESTE;2° DOSE;151065
SANTA ALBERTINA;2° DOSE;5620
SANTA ADÉLIA;2° DOSE;12328
SANDOVALINA;2° DOSE;3337
SALTO GRANDE;2° DOSE;7390
